F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
403200,537600000,1,20,11.313497001923295,0.17,160.6
403200,537600000,1,30,10.291242152927857,0.23,212.0
403200,537600000,1,40,9.552923194497515,0.29,221.33
403200,537600000,1,50,8.79971840901091,0.34,248.75
403200,537600000,1,60,8.259002312520648,0.38,286.25
403200,537600000,1,70,7.877116975187081,0.41,296.25
403200,537600000,1,80,7.459346561241235,0.44,332.0
403200,537600000,1,90,6.898454746136865,0.48,326.29
403200,537600000,1,100,6.687621213134488,0.5,338.0
403200,614400000,1,0,14.522218995062445,0.0,56.08
403200,614400000,1,10,12.487512487512488,0.08,127.0
403200,614400000,1,20,11.42204454597373,0.16,173.3
403200,614400000,1,30,10.398253093480296,0.22,230.67
403200,614400000,1,40,9.70402717127608,0.27,254.0
403200,614400000,1,50,9.066183136899365,0.32,296.75
403200,614400000,1,60,8.528057308545113,0.36,338.0
403200,614400000,1,70,7.943442688061006,0.4,338.0
403200,614400000,1,80,7.5137125253587795,0.43,374.86
403200,614400000,1,90,7.11997152011392,0.46,381.0
403200,614400000,1,100,6.799945600435197,0.49,381.0
403200,691200000,1,0,14.63271875914545,0.0,91.08
403200,691200000,1,10,12.621481761958853,0.08,157.55
403200,691200000,1,20,11.56737998843262,0.15,212.0
403200,691200000,1,30,10.603329445445869,0.21,254.0
403200,691200000,1,40,9.889240506329113,0.26,296.89
403200,691200000,1,50,9.227646027498384,0.31,338.0
403200,691200000,1,60,8.674531575294933,0.35,381.0
403200,691200000,1,70,8.264462809917354,0.38,396.75
403200,691200000,1,80,7.843752451172642,0.41,423.0
403200,691200000,1,90,7.345379756133393,0.45,429.14
403200,691200000,1,100,7.055171440666007,0.47,441.43
403200,768000000,1,0,14.710208884966166,0.0,94.67
403200,768000000,1,10,12.73560876209883,0.08,169.0
403200,768000000,1,20,11.67406023815083,0.14,237.2
403200,768000000,1,30,10.773540185304892,0.2,296.9
403200,768000000,1,40,10.01001001001001,0.25,338.0
403200,768000000,1,50,9.512032721392561,0.29,381.0
403200,768000000,1,60,8.86839304717985,0.34,423.0
